animal_id,day,trial_in_day,choice,state_win,state_random,state_go
170614cage5,0,1,1,0.5296601266717429,0.450854206565041,0.019485666763216156
170614cage5,0,2,0,0.004265539593073922,0.1455226308018189,0.8502118296051072
170614cage5,0,3,1,0.8186445329189065,0.16681198563469446,0.014543481446399035
170614cage5,0,4,0,0.0025954359320538595,0.11129550042069766,0.8861090636472485
170614cage5,0,5,1,0.8250871880054501,0.1609988931261612,0.013913918868388806
170614cage5,0,6,0,0.0027163938642654796,0.11338619131187093,0.8838974148238636
170614cage5,0,7,1,0.8019905663887922,0.18127706494215248,0.01673236866905538
170614cage5,0,8,0,0.01656340902189764,0.21492905434603535,0.768507536632067
170614cage5,0,9,0,0.017997035410250963,0.21443171984660728,0.7675712447431418
170614cage5,0,10,1,0.7753605271290772,0.2044876059759399,0.020151866894982776
170614cage5,0,11,0,0.01762531282746486,0.21965645326368585,0.7627182339088493
170614cage5,0,12,0,0.017770669819781315,0.21368059588533603,0.7685487342948826
170614cage5,0,13,1,0.7787089176066974,0.2016709908658855,0.019620091527417102
170614cage5,0,14,0,0.014465728527753179,0.20921771874199246,0.7763165527302545
170614cage5,0,15,0,0.09240081626759353,0.34339735776320424,0.5642018259692023
170614cage5,0,16,0,0.014601042593630695,0.20385990973361306,0.7815390476727562
170614cage5,0,17,1,0.7817447902729919,0.19910357191750408,0.019151637809503963
170614cage5,0,18,0,0.014534447195620026,0.2095795448043328,0.7758860080000471
170614cage5,0,19,0,0.0854906366675872,0.3396774783402054,0.5748318849922074
170614cage5,0,20,0,0.04246344431653129,0.2683791207978328,0.6891574348856359
170614cage5,1,1,1,0.9715380313428668,0.0268395249565402,0.0016224437005930047
170614cage5,1,2,0,0.1034240700993066,0.4243167858166606,0.47225914408403274
170614cage5,1,3,0,0.11575395226964853,0.39622830219105365,0.48801774553929783
170614cage5,1,4,1,0.8089793169293603,0.18342288339951712,0.007597799671122594
170614cage5,1,5,0,0.1047574706415731,0.4513181030074436,0.44392442635098317
170614cage5,1,6,0,0.11397050882652218,0.3974288530031998,0.488600638170278
170614cage5,1,7,1,0.7780830867891612,0.2000281287690899,0.021888784441748882
170614cage5,1,8,1,0.8102537892669729,0.18070527672919687,0.00904093400383018
170614cage5,1,9,0,0.029036343440410582,0.18878621005839527,0.7821774465011941
170614cage5,1,10,1,0.8909064546666242,0.10739753324779742,0.0016960120855783343
170614cage5,1,11,0,0.026854302893043632,0.1751168068406527,0.7980288902663036
170614cage5,1,12,1,0.8931374899504181,0.10525304885214314,0.0016094611974386828
170614cage5,1,13,0,0.02681335791976228,0.1747617703761078,0.7984248717041299
170614cage5,1,14,1,0.8931928473016713,0.10519974137538596,0.0016074113229427802
170614cage5,1,15,0,0.02681332932936631,0.17476137194146693,0.7984252987291667
170614cage5,1,16,1,0.8931559227423276,0.10523487522175491,0.0016092020359175577
170614cage5,1,17,0,0.026853087101141936,0.1751006130900139,0.7980462998088441
170614cage5,1,18,1,0.8916382154407775,0.10667520239607062,0.001686582163151856
170614cage5,1,19,0,0.028927567896219898,0.18819649120175522,0.7828759409020248
170614cage5,1,20,1,0.8380667417935921,0.15222333721230638,0.009709920994101527
170614cage5,1,21,1,0.7014993045553465,0.24075042666925459,0.05775026877539888
170614cage5,1,22,1,0.8097418479805668,0.18136352337724457,0.008894628642188696
170614cage5,1,23,0,0.031153260110068977,0.2025360151097184,0.7663107247802127
170614cage5,1,24,1,0.8347285250551983,0.15506082449141553,0.01021065045338609
170614cage5,1,25,1,0.7014931498442136,0.24081308668463114,0.05769376347115524
170614cage5,1,26,1,0.81107963223644,0.18024220742738153,0.008678160336178567
170614cage5,1,27,0,0.02977250923936055,0.1954733272921627,0.7747541634684767
170614cage5,1,28,1,0.860507499513113,0.13597109220318415,0.0035214082837028223
170614cage5,1,29,0,0.09195163210785018,0.41687262664732927,0.4911757412448206
170614cage5,1,30,0,0.15206836142777658,0.4479330876869806,0.39999855088524283
170614cage5,2,1,0,0.29716800890918693,0.18000004022240507,0.522831950868408
170614cage5,2,2,1,0.8233430184662321,0.16745609671063216,0.009200884823135783
170614cage5,2,3,0,0.10501284023278575,0.44857648898119934,0.44641067078601493
170614cage5,2,4,0,0.11439002845741926,0.3978604392982666,0.4877495322443141
170614cage5,2,5,1,0.7779178746471969,0.20015690878859202,0.021925216564211075
170614cage5,2,6,1,0.8101821901562698,0.18076714594893417,0.009050663894795998
170614cage5,2,7,0,0.029081139437107273,0.18917074199342887,0.7817481185694638
170614cage5,2,8,1,0.8892511070907522,0.10896514451221068,0.00178374839703719
170614cage5,2,9,0,0.029127846243834212,0.18910716192541221,0.7817649918307535
170614cage5,2,10,1,0.8365026294277826,0.15277284579858433,0.010724524773633072
170614cage5,2,11,1,0.8083296803479335,0.18183909086786298,0.009831228784203568
170614cage5,2,12,0,0.031329442063951746,0.20293801998613234,0.7657325379499159
170614cage5,2,13,1,0.8346145085321054,0.15515460522700583,0.010230886240888748
170614cage5,2,14,1,0.7014936447908099,0.2408233320859171,0.05768302312327302
170614cage5,2,15,1,0.8109249900597456,0.18037423352686976,0.008700776413384589
170614cage5,2,16,0,0.029877734967380252,0.19631994010945078,0.7738023249231689
170614cage5,2,17,1,0.8569137530874615,0.1393131305793213,0.003773116333217254
170614cage5,2,18,0,0.10351737874830662,0.4427144321448272,0.4537681891068663
170614cage5,2,19,0,0.11528752501209308,0.3991300497013737,0.48558242528653317
170614cage5,2,20,1,0.779184324393941,0.20073502406637814,0.020080651539680888
170614cage5,2,21,1,0.7056563373547836,0.24335601867482545,0.050987643970390926
