animal_id,day,trial_in_day,choice,state_win,state_random,state_go
170614cage1 1B,0,1,1,0.24840586197208267,0.6865748952728695,0.06501924275504772
170614cage1 1B,0,2,1,0.5883563239627284,0.359726288660586,0.05191738737668558
170614cage1 1B,0,3,0,0.021232212950005026,0.24231137436685934,0.7364564126831356
170614cage1 1B,0,4,0,0.08944184116651305,0.34282871542410537,0.5677294434093815
170614cage1 1B,0,5,0,0.01477353398943886,0.20476576810095662,0.7804606979096046
170614cage1 1B,0,6,1,0.7786579364623899,0.20170556200795475,0.01963650152965549
170614cage1 1B,0,7,0,0.017478407292638196,0.21905502314259043,0.7634665695647713
170614cage1 1B,0,8,0,0.017923991555480245,0.2143099818121167,0.7677660266324032
170614cage1 1B,0,9,1,0.7753628440192686,0.20448549251627832,0.020151663464453146
170614cage1 1B,0,10,0,0.017694624693712666,0.2197843090764802,0.7625210662298071
170614cage1 1B,0,11,0,0.016861973455637207,0.20957685674915721,0.7735611697952056
170614cage1 1B,0,12,1,0.801106157080907,0.1821021542484493,0.016791688670643734
170614cage1 1B,0,13,0,0.0028985050385231356,0.11630230822888303,0.8807991867325938
170614cage1 1B,0,14,1,0.8013245382068932,0.18187075177480386,0.016804710018302957
170614cage1 1B,0,15,0,0.01659778467579626,0.2150651627809638,0.76833705254324
170614cage1 1B,0,16,0,0.017864766486025373,0.2138745891488494,0.7682606443651253
170614cage1 1B,0,17,1,0.7783913382003969,0.20194146176396993,0.019667200035633173
170614cage1 1B,0,18,0,0.014651825822196825,0.21016411097125887,0.7751840632065443
170614cage1 1B,0,19,0,0.08544300692253275,0.3396665396550111,0.5748904534224561
170614cage1 1B,0,20,0,0.04246652421396374,0.26838620546959513,0.6891472703164412
170614cage1 1B,1,1,1,0.965159468743348,0.03039757166736833,0.0044429595892836885
170614cage1 1B,1,2,1,0.7046730463025375,0.2350307545124961,0.06029619918496635
170614cage1 1B,1,3,1,0.7793194779282473,0.20675766926867867,0.013922852803074119
170614cage1 1B,1,4,0,0.0637983740740023,0.3644456508359879,0.5717559750900099
170614cage1 1B,1,5,0,0.25163812388744966,0.57582876916318,0.1725331069493703
170614cage1 1B,1,6,0,0.06287543584378791,0.3055678223863238,0.6315567417698883
170614cage1 1B,1,7,1,0.8701959688794191,0.12721758602756744,0.0025864450930135167
170614cage1 1B,1,8,0,0.027290986456498335,0.17879244658664015,0.7939165669568615
170614cage1 1B,1,9,1,0.8909806363918031,0.1073059437311601,0.0017134198770367309
170614cage1 1B,1,10,0,0.02909461488682019,0.18881954019733602,0.7820858449158438
170614cage1 1B,1,11,1,0.8365682476060596,0.15271774510356742,0.010714007290372914
170614cage1 1B,1,12,1,0.8083120609212447,0.18185318406636347,0.009834755012391871
170614cage1 1B,1,13,0,0.03134520743431167,0.20303734303107415,0.7656174495346143
170614cage1 1B,1,14,1,0.8342202506283981,0.15548917838874043,0.010290570982861461
170614cage1 1B,1,15,1,0.7062089919887934,0.2412901876061054,0.05250082040510107
170614cage1 1B,1,16,1,0.7061710426423751,0.2412182060605249,0.05261075129710006
170614cage1 1B,1,17,1,0.8117732404915188,0.1796837170330498,0.008543042475431339
170614cage1 1B,1,18,0,0.028957374366607724,0.18865300076151828,0.7823896248718739
170614cage1 1B,1,19,1,0.8900962412719439,0.10816690342905465,0.0017368552990014966
170614cage1 1B,1,20,0,0.027765353532165537,0.18265774703753263,0.7895768994303018
170614cage1 1B,1,21,1,0.8596735026881113,0.13673603321309746,0.0035904640987912237
170614cage1 1B,1,22,0,0.10346848518904296,0.44224157211879367,0.4542899426921634
170614cage1 1B,1,23,0,0.11535275824141286,0.39912931329607626,0.48551792846251096
170614cage1 1B,1,24,1,0.7796471452752504,0.2003640224692555,0.01998883225549411
170614cage1 1B,1,25,1,0.7017558490374046,0.24245400469501235,0.05579014626758299
170614cage1 1B,1,26,1,0.8120551406244622,0.1794384716993054,0.008506387676232373
170614cage1 1B,1,27,0,0.02894994025135567,0.1886188177247808,0.7824312420238635
170614cage1 1B,1,28,1,0.8900362869897491,0.10822142778591906,0.0017422852243318674
170614cage1 1B,1,29,0,0.028091057609904456,0.1830757064903423,0.7888332358997533
170614cage1 1B,1,30,1,0.8603494099459081,0.13338172302531365,0.0062688670287781734
170614cage1 1B,2,1,1,0.9645492110171706,0.030755568695535144,0.004695220287294346
170614cage1 1B,2,2,1,0.7576171353241872,0.2203685424164463,0.022014322259366597
170614cage1 1B,2,3,0,0.11182290406792825,0.46639297311625927,0.4217841228158124
170614cage1 1B,2,4,0,0.10603600619256424,0.3761008236088379,0.5178631701985978
170614cage1 1B,2,5,1,0.8533837434154612,0.14311567816185797,0.003500578422680973
170614cage1 1B,2,6,0,0.02971759598949095,0.19469054146878065,0.7755918625417284
170614cage1 1B,2,7,1,0.836231181496755,0.15379556899486646,0.009973249508378485
170614cage1 1B,2,8,1,0.7055444978403316,0.24164068377901532,0.05281481838065313
170614cage1 1B,2,9,1,0.7099212869094867,0.24204180031057743,0.04803691277993589
170614cage1 1B,2,10,1,0.7090873729181264,0.24262809387382522,0.048284533208048486
170614cage1 1B,2,11,1,0.7090858912347028,0.24263008049020446,0.048284028275092684
170614cage1 1B,2,12,1,0.7097384577001331,0.24223196117824433,0.04802958112162249
170614cage1 1B,2,13,1,0.7053467108749261,0.2419137181115193,0.052739571013554594
170614cage1 1B,2,14,1,0.8090443600102455,0.18199563163120397,0.008960008358550485
170614cage1 1B,2,15,0,0.03133398155671136,0.20319004540495922,0.7654759730383295
