animal_id,day,trial_in_day,choice,state_win,state_random,state_go
170614cage2 1A,0,1,1,0.5287698967471474,0.45169016764514747,0.019539935607705065
170614cage2 1A,0,2,0,0.004513397013099461,0.14882608479844459,0.8466605181884559
170614cage2 1A,0,3,1,0.7971172411569788,0.18577655613704286,0.01710620270597838
170614cage2 1A,0,4,0,0.013841771174009521,0.2059802518737019,0.7801779769522886
170614cage2 1A,0,5,0,0.09292304284366516,0.3434935201757542,0.5635834369805807
170614cage2 1A,0,6,0,0.014047152207519994,0.20093895353778185,0.7850138942546983
170614cage2 1A,0,7,1,0.7977271643888093,0.18520826272012872,0.01706457289106199
170614cage2 1A,0,8,0,0.004949305121722731,0.14554420765584525,0.8495064872224322
170614cage2 1A,0,9,1,0.5706952473746804,0.360980074054368,0.06832467857095169
170614cage2 1A,0,10,1,0.5176772576913037,0.40246296195708203,0.0798597803516143
170614cage2 1A,0,11,0,0.02466206247179029,0.2544048181695843,0.7209331193586253
170614cage2 1A,0,12,0,0.08832962202705803,0.34248023827618007,0.5691901396967618
170614cage2 1A,0,13,0,0.014685184701006779,0.20432793229907242,0.7809868829999207
170614cage2 1A,0,14,1,0.7818539186077221,0.19901069709514113,0.01913538429713681
170614cage2 1A,0,15,0,0.01435725445278373,0.2086733991908003,0.776969346356416
170614cage2 1A,0,16,0,0.09242572723931022,0.3434011969287209,0.5641730758319687
170614cage2 1A,0,17,0,0.014653674294333896,0.20412462931618547,0.7812216963894806
170614cage2 1A,0,18,1,0.7802455989789983,0.20036721433872906,0.01938718668227269
170614cage2 1A,0,19,0,0.015995643523667454,0.21436915532763678,0.7696352011486957
170614cage2 1A,0,20,0,0.05119667110662251,0.27840538460551745,0.67039794428786
170614cage2 1A,1,1,1,0.9791340008617418,0.020147883083384638,0.0007181160548734697
170614cage2 1A,1,2,0,0.026525726489642035,0.16860310455235092,0.804871168958007
170614cage2 1A,1,3,1,0.8624319899269215,0.1341490376718336,0.0034189724012449315
170614cage2 1A,1,4,0,0.10325911551009294,0.4414135713072725,0.45532731318263453
170614cage2 1A,1,5,0,0.11592066113369927,0.39983996886044804,0.4842393700058526
170614cage2 1A,1,6,1,0.7771969338987514,0.2007731401518644,0.022029925949384157
170614cage2 1A,1,7,1,0.8075459790800079,0.18298442808157303,0.009469592838419052
170614cage2 1A,1,8,0,0.03129237016564608,0.20309009595378066,0.7656175338805733
170614cage2 1A,1,9,1,0.8342116437036174,0.15550250667947477,0.010285849616907821
170614cage2 1A,1,10,1,0.7058298773627224,0.2416158310322703,0.05255429160500723
170614cage2 1A,1,11,1,0.7062698820180144,0.24340729234009495,0.05032282564189061
170614cage2 1A,1,12,1,0.7551373454404171,0.22629846860654076,0.01856418595304223
170614cage2 1A,1,13,0,0.10945178940256216,0.464203649186937,0.4263445614105008
170614cage2 1A,1,14,0,0.10801798408032534,0.38639859402815874,0.505583421891516
170614cage2 1A,1,15,1,0.8117717816622678,0.180887193516492,0.007341024821240145
170614cage2 1A,1,16,0,0.10479048932613828,0.45107383786555294,0.44413567280830873
170614cage2 1A,1,17,0,0.11363926969293726,0.3970998282190426,0.4892609020880201
170614cage2 1A,1,18,1,0.779871547539248,0.20018524844609506,0.019943204014656858
170614cage2 1A,1,19,1,0.7059630712219551,0.24324643786053465,0.050790490917510284
170614cage2 1A,1,20,1,0.7059012567383592,0.24369228717605648,0.05040645608558432
170614cage2 1A,1,21,1,0.7558794086174759,0.2257146646211774,0.01840592676134667
170614cage2 1A,1,22,0,0.10785841317661847,0.46100353065561334,0.43113805616776824
170614cage2 1A,1,23,0,0.1115991449777497,0.39466655193903893,0.4937343030832114
170614cage2 1A,1,24,1,0.7784341230349149,0.20084480288482728,0.02072107408025774
170614cage2 1A,1,25,1,0.753661071948715,0.22683643953736243,0.019502488513922462
170614cage2 1A,1,26,0,0.10826655666415222,0.4616299122732931,0.4301035310625548
170614cage2 1A,1,27,0,0.11120541407610209,0.39383377566875527,0.49496081025514266
170614cage2 1A,1,28,1,0.781166892683863,0.19915444985096092,0.01967865746517605
170614cage2 1A,1,29,1,0.7040012158131222,0.2430484545143577,0.05295032967252
170614cage2 1A,1,30,1,0.7502228209716866,0.21802438863460485,0.031752790393708534
170614cage2 1A,2,1,1,0.9793128703253148,0.01998661384954218,0.0007005158251430735
170614cage2 1A,2,2,0,0.0256769866087187,0.16185732261350128,0.8124656907777801
170614cage2 1A,2,3,1,0.8936632211469836,0.1047247546827381,0.0016120241702784126
170614cage2 1A,2,4,0,0.029046327923830686,0.18837067811898822,0.7825829939571811
170614cage2 1A,2,5,1,0.8367111070759856,0.15256921988724298,0.010719673036771342
170614cage2 1A,2,6,1,0.8109464499455251,0.17965754217432972,0.009396007880145154
170614cage2 1A,2,7,0,0.029129469749909334,0.18912292766533678,0.7817476025847538
170614cage2 1A,2,8,1,0.8892505017556208,0.10896580707653321,0.0017836911678460283
170614cage2 1A,2,9,0,0.029083398376039838,0.18916179402413674,0.7817548075998234
170614cage2 1A,2,10,1,0.8357888357681476,0.15394913140830538,0.010262032823546981
170614cage2 1A,2,11,1,0.752872340688282,0.22657456603493906,0.020553093276779035
170614cage2 1A,2,12,0,0.11158491260398741,0.46746413284595467,0.420950954550058
170614cage2 1A,2,13,0,0.10584575887282066,0.3755242090489471,0.5186300320782322
170614cage2 1A,2,14,1,0.8554691451456565,0.14119485242172447,0.003336002432618944
170614cage2 1A,2,15,0,0.027550195355619433,0.1808206792974319,0.7916291253469486
170614cage2 1A,2,16,1,0.8921893174499341,0.1061652350199228,0.0016454475301430128
170614cage2 1A,2,17,0,0.02687240433042481,0.17526908120567378,0.7978585144639013
170614cage2 1A,2,18,1,0.8915475522757157,0.10676097055679926,0.0016914771674850085
170614cage2 1A,2,19,0,0.029083915402607276,0.18872546261761183,0.7821906219797808
170614cage2 1A,2,20,1,0.8365897755552063,0.15269959656089352,0.010710627883900163
170614cage2 1A,2,21,1,0.8083124458544058,0.18185267034615837,0.009834883799435904
170614cage2 1A,2,22,0,0.0313452245527113,0.20303730661400277,0.7656174688332859
