animal_id,day,trial_in_day,choice,state_win,state_random,state_go
170614cage4 1C,0,1,0,0.032836591324395266,0.5310673744648834,0.43609603421072135
170614cage4 1C,0,2,0,0.01248197366721532,0.20625028145128999,0.7812677448814948
170614cage4 1C,0,3,1,0.8041082276580995,0.17963305143955907,0.016258720902341345
170614cage4 1C,0,4,0,0.0026954339842878896,0.11296669879765896,0.8843378672180531
170614cage4 1C,0,5,1,0.8252153713403583,0.16088440961893902,0.013900219040702657
170614cage4 1C,0,6,0,0.0025751783610398226,0.11095576324064974,0.8864690583983106
170614cage4 1C,0,7,1,0.8216459782820721,0.16408145150728579,0.014272570210642144
170614cage4 1C,0,8,0,0.003859155352773164,0.13136016763937144,0.8647806770078554
170614cage4 1C,0,9,1,0.6592271971932196,0.29807097238479335,0.04270183042198699
170614cage4 1C,0,10,1,0.23522370969589246,0.5374416722066465,0.2273346180974611
170614cage4 1C,0,11,1,0.6529668594197312,0.3045635449716074,0.04246959560866122
170614cage4 1C,0,12,0,0.0039226427355804035,0.13158413312039682,0.8644932241440227
170614cage4 1C,0,13,1,0.817223792714601,0.1680475926856788,0.014728614599720188
170614cage4 1C,0,14,0,0.0039043632489531815,0.1319610434396676,0.8641345933113792
170614cage4 1C,0,15,1,0.6590350771917235,0.29822945830964565,0.042735464498630714
170614cage4 1C,0,16,1,0.23532184023126507,0.5374276274959058,0.22725053227282904
170614cage4 1C,0,17,1,0.6526899371105837,0.3047936466003987,0.0425164162890177
170614cage4 1C,0,18,0,0.003995902853799863,0.13254530973117673,0.8634587874150234
170614cage4 1C,0,19,1,0.8104874026386452,0.1739178622073715,0.015594735153983349
170614cage4 1C,0,20,0,0.008464660342253703,0.1595954683352228,0.8319398713225234
170614cage4 1C,1,1,1,0.9789627703636812,0.02030030322559729,0.0007369264107215009
170614cage4 1C,1,2,0,0.027849026476339724,0.1746762521653961,0.7974747213582642
170614cage4 1C,1,3,1,0.8397812543731351,0.14997053631197,0.010248209314894936
170614cage4 1C,1,4,1,0.8110030095945217,0.17958349327881265,0.009413497126665636
170614cage4 1C,1,5,0,0.029131704039748144,0.1891177704045106,0.7817505255557412
170614cage4 1C,1,6,1,0.8892510268103107,0.10896528503897412,0.0017836881507151624
170614cage4 1C,1,7,0,0.029083391655635206,0.18916171011337868,0.7817548982309861
170614cage4 1C,1,8,1,0.8357888568985324,0.15394911077987825,0.010262032321589362
170614cage4 1C,1,9,1,0.7528726042649849,0.22657436256532573,0.020553033169689414
170614cage4 1C,1,10,0,0.11158431554343703,0.4674630611868617,0.42095262326970134
170614cage4 1C,1,11,0,0.10584644679827426,0.37552805361494074,0.5186254995867849
